nombre,zona,barrio_localidad,contacto,estado,notas
Coworking Z.S,Zona Sur,Lomas de Zamora,facebook/coworkingzona.sur,nuevo,Reconfirmar IG
Synergia Coworking,Zona Sur,Lomas de Zamora,@synergiacoworking,nuevo,Reconfirmar IG
Distrito Avellaneda,Zona Sur,Avellaneda,@distritoavellaneda,nuevo,
Ambrela Coworking,CABA,Villa Devoto,@ambrela.coworking,nuevo,Coworking + capacitacion. ambrela.com.ar
Coworking La Floresta,CABA,Floresta,@coworkinglafloresta,nuevo,Oficinas privadas y salas
IPV Coworking Flores,CABA,Flores,@ipv.coworking,nuevo,Espacio equipado para reuniones
People Coworking Flores,CABA,Flores,@peoplecoworking,nuevo,Segunda sede (Caballito + Flores)
Devoto Coworking,CABA,Villa Devoto,booking.page/devoto,nuevo,Reconfirmar IG
Widu Parque Austral,Zona Norte,Pilar,@widucoworking,nuevo,Parque Austral. PyMEs y profesionales
Edificio Concord,Zona Norte,Pilar,@concordpilar,nuevo,Junto a Sheraton / Palmas del Pilar. Reconfirmar IG
Wynwork,Zona Norte,Nordelta,@wynwork,nuevo,En Wyndham Nordelta. Reconfirmar IG
AreaTres San Telmo,CABA,San Telmo,@areatres,contactado,Sede historica 4600 m2 (misma marca)
Spaces San Telmo,CABA,San Telmo,spacesworks.com,nuevo,Cadena grupo Regus
La Maquinita - Microcentro,CABA,Microcentro,@lamaquinitaco,contactado,Sede 1200 m2
Regus Olivos,Zona Norte,Olivos,regus.com,nuevo,
Spaces Belgrano,CABA,Belgrano,spacesworks.com,nuevo,
Espacio Coworking Saavedra,CABA,Saavedra,@coworkingsaavedra,nuevo,Reconfirmar IG
Coworking Villa Urquiza (Cafetera),CABA,Villa Urquiza,@usinacafetera,nuevo,Sede cafe-coworking
Quilmes Coworking Centro,Zona Sur,Quilmes,@quilmescoworking,nuevo,Reconfirmar IG
Adrogue Coworking,Zona Sur,Adrogue,@adroguecoworking,nuevo,Reconfirmar IG
La Ofi Ituzaingo,Zona Oeste,Ituzaingo,@laoficoworking,nuevo,Segunda sede
Espacio Moron Cowork,Zona Oeste,Moron,@moroncowork,nuevo,Reconfirmar IG
Centro Coworking Haedo,Zona Oeste,Haedo,@haedocoworking,nuevo,Reconfirmar IG
Tigerlabs II,Zona Norte,Tigre,@tigerlabscoworking,nuevo,Sede
